L,end_ny,rr,concept,n,gross,net,net5050,vs_rand,cost_R,risk_med,H1,H2
210,5,1.0,False,2018,0.006725361985425943,-0.1329828594975606,-0.13199177922005811,0.0029629466565906635,0.13970822148298653,3.001982142857287,-0.12961347362514247,-0.13603407862093073
210,5,2.0,False,2018,-0.01317315993156732,-0.15288138141455387,-0.152138071206427,-0.022476520933491544,0.13970822148298653,3.001982142857287,-0.1737139470708317,-0.13401600798266483
210,6,1.0,False,1917,0.021186736160696107,-0.1194635312587236,-0.11894188284975125,0.009196067268646056,0.1406502674194197,2.9961607142859066,-0.14204339100878363,-0.09922876080021284
210,6,2.0,False,1917,0.04438117301203956,-0.09626909440738014,-0.09548662179392162,0.03175216660971351,0.1406502674194197,2.9961607142859066,-0.15694225199787057,-0.041897303332222545
210,7,1.0,False,1731,0.022830435553328237,-0.12404116672432587,-0.12230806447129297,0.03196088645669949,0.1468716022776541,2.8653928571429788,-0.16103508053999177,-0.09195583046996197
210,7,2.0,False,1731,-0.010782473230261711,-0.1576540755079158,-0.15592097325488288,0.003991979203865312,0.1468716022776541,2.8653928571429788,-0.1945483881818179,-0.12565512470983897
210,8,1.0,False,1617,-0.05643921632585066,-0.2076322997913047,-0.20392172465215816,-0.03377997468923628,0.15119308346545404,2.976839285714277,-0.22811389365244536,-0.18951396676029567
210,8,2.0,False,1617,-0.035889572140405626,-0.18708265560585965,-0.18337208046671308,-0.023603291204417398,0.15119308346545404,2.976839285714277,-0.21554440316929968,-0.16190495583820125
210,9,1.0,False,1833,-0.018455089703690614,-0.13593460279542272,-0.13375238784725033,-0.03165758719862767,0.11747951309173212,3.655982142857283,-0.14995626844484636,-0.12304347982139767
210,9,2.0,False,1833,0.017074252644926922,-0.10040526044680519,-0.09958692984124054,0.009626336336158992,0.11747951309173212,3.655982142857283,-0.10936122192583954,-0.09217140266817464
210,10,1.0,False,1904,0.0046526640514566306,-0.0920685559692404,-0.08996771563310596,-0.004757010250430798,0.09672122002069704,4.402499999999918,-0.0899574526436267,-0.09396897034020203
210,10,2.0,False,1904,0.010619160644479216,-0.08610205937621782,-0.0853142442501674,0.01145652955844039,0.09672122002069704,4.402499999999918,-0.10104973731931347,-0.07264616565898002
210,11,1.0,False,1913,-0.014939869131387642,-0.09940730321632081,-0.09888456406315824,-0.012409956540235502,0.08446743408493317,5.125089285714239,-0.1251402556528016,-0.07635221005221908
210,11,2.0,False,1913,0.0008310423731708907,-0.08363639171176226,-0.08285228298201841,0.0007273118083549907,0.08446743408493317,5.125089285714239,-0.1038021185404415,-0.06556917956793074
210,12,1.0,True,1904,0.0017798200893286748,-0.08156421800360332,-0.0805137978355361,0.004989664462558255,0.08334403809293199,5.12887499999988,-0.11913787723023744,-0.04809493068851812
210,12,2.0,True,1904,-0.007129891647815371,-0.09047392974074736,-0.08968611461469694,-0.002463367452538445,0.08334403809293199,5.12887499999988,-0.13418996733026484,-0.05153322892863498
210,13,1.0,False,1772,-0.004105336468500996,-0.09881198836714461,-0.09881198836714461,0.008024225706593321,0.09470665189864358,4.734964285714341,-0.13918695660470876,-0.06504763669075674
210,13,2.0,False,1772,-0.015213483176868351,-0.10992013507551195,-0.10992013507551195,-0.0036168020264555614,0.09470665189864358,4.734964285714341,-0.1582945509677612,-0.06946608986821126
210,14,1.0,False,1350,-0.018685319950952944,-0.12448634984920456,-0.12374560910846383,-0.02137835835783513,0.10580102989825163,4.097196428571465,-0.1568476302664462,-0.09583124959147944
210,14,2.0,False,1350,-0.027680654132356344,-0.13348168403060795,-0.13237057291949686,-0.023383483644987626,0.10580102989825163,4.097196428571465,-0.1594193128269577,-0.11051456579473401
