b,diff,lo,hi,p,verdict,z
47,0.010373546666666289,-0.02211767100000034,0.045318953666666495,0.5465158770713328,NULL,0.6029891952476588
48,-0.019832626666666367,-0.05346518899999937,0.013796103999999912,0.24775162216838245,NULL,-1.1558277445575271
49,-0.005812600000000036,-0.03786778933333351,0.0277347210000003,0.7283519621707386,NULL,-0.34731862206228237
50,-0.005925066666667006,-0.039852129999998306,0.028185119666667435,0.7328255123787171,NULL,-0.34136939459376703
51,0.012674986666666652,-0.023873583333331748,0.047944208666668604,0.4890499354442184,NULL,0.6918207000055506
52,-0.005011159999999973,-0.03891383600000025,0.0279225883333335,0.7688324740931713,NULL,-0.29390241312898935
53,0.005724760000000065,-0.02759392500000067,0.0416422303333339,0.745849106382697,NULL,0.32411746303994926
54,0.02878182666666716,-0.005096195333334352,0.06465405633333297,0.10576527452985705,NULL,1.6175237443011499
55,-0.022161960000000282,-0.05745154400000017,0.013208080666666734,0.21889882733055904,NULL,-1.2294614916043116
56,-0.008950346666667199,-0.043936860999998634,0.029880878000001845,0.634581431344443,NULL,-0.4752883925146392
57,0.01411639999999971,-0.019338588999998442,0.04907404400000124,0.4186038418352697,NULL,0.8088458109659238
58,0.019493213333333197,-0.014414889000000493,0.0559022126666667,0.2771794836259951,NULL,1.086677222811761
59,0.015883413333333644,-0.02061071400000158,0.051543053333332596,0.3881897771355913,NULL,0.8629048622405565
60,0.004428453333333832,-0.028678936666666092,0.03863895900000016,0.7965077835528105,NULL,0.25786929383510676
61,0.0215250800000004,-0.012416996666666165,0.05477016433333313,0.20917161358849068,NULL,1.2558465417856022
62,-0.019833973333333206,-0.05340105266666624,0.013795752000000053,0.24726601026678666,NULL,-1.157015542721986
63,-0.0012694799999998924,-0.033604742000004524,0.03391118899999508,0.9412450199739475,NULL,-0.07370512594189965
64,0.01552428000000003,-0.019070960333333307,0.050297396333333216,0.38034562670670535,NULL,0.8772596436767289
65,-0.021823986666666427,-0.0548685843333334,0.015099581333333282,0.22145177402509086,NULL,-1.2226768501242598
66,-0.024162146666666422,-0.05966966766666448,0.009391142333334587,0.17023279200247216,NULL,-1.3714561885210101
67,-0.025293120000000134,-0.06031500566666651,0.009360526666666605,0.15474062047611628,NULL,-1.4229845969605603
68,-0.007512666666666702,-0.03964437866666686,0.026358126666667037,0.6554659746298586,NULL,-0.4461817361720737
69,-0.01850258666666669,-0.05364850199999753,0.014802757000003225,0.2893408858496727,NULL,-1.0595686420770234
70,0.012750666666666771,-0.020181128666666832,0.04970287200000101,0.4744796517830695,NULL,0.7152094157250105
71,0.023743586666666417,-0.009733035666667078,0.057018391999999946,0.1632196394181657,NULL,1.3943244878576484
72,0.004507586666666376,-0.028351427333333457,0.03833219566666702,0.7910296197352744,NULL,0.26497383303681726
73,-0.01195298666666722,-0.04379351033333355,0.022160480333333774,0.47744548144159665,NULL,-0.710417165734531
74,-0.009348679999999901,-0.041740001999999575,0.024188380333333318,0.5783148410098649,NULL,-0.5558478943068439
75,0.008365733333333906,-0.025237764000001446,0.04473986766666581,0.6393396996997835,NULL,0.4686222090235353
76,0.016480373333333312,-0.016590419333332933,0.05029803066666766,0.3341366973626104,NULL,0.9658151277206455
77,-0.01843361333333364,-0.05441384366666707,0.018696823333332634,0.3229845516970653,NULL,-0.9883432884904216
78,0.020677946666666815,-0.018350075666666913,0.056831601333333905,0.28097312967971566,NULL,1.0781358617628738
79,0.02848806666666666,-0.007774131666666707,0.06021106266666703,0.10046971027134269,NULL,1.642580730813326
80,0.008613439999999833,-0.026233649666666685,0.042790056333332424,0.6247240300687856,NULL,0.48916620953849954
81,-0.011060266666666582,-0.04295618099999873,0.025832313333334526,0.5285167618753421,NULL,-0.630271812376681
82,-0.00663213333333313,-0.039648833666666265,0.026914246333333107,0.6961157373416929,NULL,-0.3905691436313662
83,0.03048114666666631,-0.004419141666669902,0.06520133333333022,0.08612218163504481,NULL,1.7162178265915555
84,0.01434489333333306,-0.01811386399999999,0.048100669333333165,0.3957568444048021,NULL,0.8492236704481656
85,0.012084293333333405,-0.02217021533333502,0.04533909599999812,0.48288220204608695,NULL,0.7016744632996713
86,-0.008641613333333319,-0.04038367000000299,0.02528627099999833,0.605973398612551,NULL,-0.5158296406952144
87,-0.0016767733333334714,-0.03790124066666666,0.03132033500000011,0.9243517632675671,NULL,-0.09495349788970947
88,0.05567513333333376,0.02486773333333284,0.09093053033333279,0.0009546502065069139,EDGE,3.303561519762303
89,-0.007903879999999287,-0.0411753569999992,0.026978865333334275,0.6493998743023348,NULL,-0.4545960537720631
90,-0.023900960000000207,-0.05637615233333341,0.009795950333332738,0.1568182284636092,NULL,-1.415854091909893
91,0.019586880000000164,-0.013447984999999912,0.0517442966666671,0.23890271251042794,NULL,1.1777338878430146
92,-0.012058773333333543,-0.047841506333333714,0.021777526000000356,0.49715424168483974,NULL,-0.6789741490324409
93,-0.008091173333333403,-0.0415054540000005,0.024511224000000047,0.6309170975392202,NULL,-0.4804364270220727
94,0.0017179733333330532,-0.03208616466666656,0.034537032333333134,0.9194862511846451,NULL,0.10108088587501438
95,0.005334573333333592,-0.030969018666668152,0.03903490599999777,0.7651583718948902,NULL,0.298713871785892
96,-0.010785973333333053,-0.046351759333331924,0.027138360999999955,0.5650757916486422,NULL,-0.5753186780047918
97,0.011676880000000181,-0.024237675999999906,0.048909923999999626,0.5314751817965047,NULL,0.6257557167240073
98,0.013101533333332954,-0.019473797333333737,0.04493191399999924,0.4252191817096322,NULL,0.7973992724102636
99,-0.01630040000000011,-0.05014804599999966,0.01846061566666676,0.35168975084125853,NULL,-0.931316729098136
100,0.0040541199999995226,-0.02995139400000094,0.03522834366666611,0.8073733804886711,NULL,0.24381593225535844
101,0.03666301333333369,0.0034020810000000555,0.06864546500000039,0.027610743631469425,EDGE,2.202773119948949
102,0.008531253333333641,-0.02371249099999823,0.040143736666668636,0.6004829410283739,NULL,0.5237061448571075
103,-0.008044146666667001,-0.042945273666665604,0.030216921000000833,0.6664726454536323,NULL,-0.43099412064440457
104,0.014812746666666706,-0.019258169666668296,0.046894720666664017,0.3800859605241778,NULL,0.8777379207921993
105,-0.0023327600000003015,-0.03739552733333342,0.03279710366666609,0.8963499153974019,NULL,-0.13027366421528275
106,-0.0011722533333334423,-0.03450258600000024,0.030560563666666752,0.9436954335106199,NULL,-0.07062597934420735
107,0.0020077200000001155,-0.03331410066666605,0.03626877633333301,0.9099479200935463,NULL,0.11310423172299358
108,0.012378506666666293,-0.023050607333333858,0.04662835499999929,0.48619251025456556,NULL,0.6963774036807006
109,-0.010016266666666926,-0.0440687006666673,0.024577810000000325,0.5673492128904671,NULL,-0.571959794909126
110,-0.015114746666666352,-0.05089205033333337,0.01702399166666647,0.3830001283150049,NULL,-0.8723817956230759
111,-0.007211893333334232,-0.04018353866666797,0.02473001199999924,0.6631967296610868,NULL,-0.43550387122586953
112,0.017714506666666307,-0.016737599999999533,0.05197122200000146,0.3121908067272522,NULL,1.010635733048238
113,-0.010883826666666832,-0.042981222666666846,0.022851463999999485,0.5169433345033305,NULL,-0.6480643439912402
