family,book,n,diff,lo,hi,how,z,verdict,dep,n_eff,sec
unclustered,62,5000,-0.0011596000000002,-0.0371887809999977,0.0352557376666689,phase3_block,-0.0627452372168573,NULL,1,2294,0.6
unclustered,63,5000,0.0047267599999995,-0.0292849117208638,0.0413473469701699,day_block,0.2623243149327529,NULL,1,2265,0.6
unclustered,64,5000,-0.0084131999999995,-0.0424159676666667,0.0244782186666664,phase3_iid,-0.493004550279801,NULL,1,2309,0.6
unclustered,65,5000,-0.0142886666666672,-0.0471941786666667,0.018284006999999,phase3_iid,-0.8554077053153609,NULL,1,2291,0.6
unclustered,66,5000,-0.0154481199999997,-0.0488072063333337,0.0183439676666659,phase3_block,-0.9017789939958358,NULL,1,2277,0.5
unclustered,67,5000,0.0465176400000005,0.0119972078345038,0.0796271076804725,day_block,2.696230512616848,EDGE,1,2278,0.6
unclustered,68,5000,0.0129912266666673,-0.021077194333332,0.0472659166666676,phase3_iid,0.7451325001142596,NULL,1,2281,0.6
unclustered,69,5000,0.0204183200000002,-0.0128687705561211,0.0551027351134582,day_block,1.177527899264736,NULL,1,2288,0.6
unclustered,70,5000,0.0098129600000003,-0.026358684999999,0.0438327866666664,phase3_iid,0.5480166714491221,NULL,1,2277,0.6
unclustered,71,5000,-0.0246271466666663,-0.0580333476666715,0.0082178609999969,phase3_block,-1.4571302731166658,NULL,1,2279,0.6
unclustered,72,5000,-0.0310560266666663,-0.0651955449999995,0.0026473953333339,phase3_iid,-1.7944002412230105,NULL,1,2283,0.6
unclustered,73,5000,0.0175868000000002,-0.0155412263157131,0.0498175088888661,day_block,1.0547785163622756,NULL,1,2281,0.6
unclustered,74,5000,0.0078004533333338,-0.0260326036666662,0.040924088333334,phase3_iid,0.4566715367902059,NULL,1,2297,0.6
unclustered,75,5000,0.0164145866666661,-0.0183647746715312,0.0497947540151255,day_block,0.9440205811705882,NULL,1,2294,0.6
unclustered,76,5000,0.0179804533333335,-0.0159086883333342,0.0531736960000006,phase3_block,1.0202612888104563,NULL,1,2286,0.6
unclustered,77,5000,-0.0320596399999999,-0.0665567613333381,0.0023912186666617,phase3_block,-1.8226999617091049,NULL,1,2268,0.6
unclustered,78,5000,-0.0079612800000003,-0.0415338831445575,0.0268718423475454,day_block,-0.4562139230793513,NULL,1,2294,0.6
unclustered,79,5000,-0.0138687733333329,-0.048586031,0.0206820630000001,phase3_iid,-0.784843205227867,NULL,1,2297,0.6
unclustered,80,5000,0.0099282266666668,-0.0232491613333328,0.0450863993333335,phase3_iid,0.5695121737692552,NULL,1,2272,0.6
unclustered,81,5000,-0.0201505333333329,-0.0534119567306017,0.0152832514087753,day_block,-1.1498420627535402,NULL,1,2312,0.6
