date,price,kind
2026-02-05 00:00:00+00:00,5020.555,H
2026-02-06 00:00:00+00:00,4655.23,L
2026-02-09 00:00:00+00:00,5086.68,H
2026-02-09 00:00:00+00:00,4968.885,L
2026-02-11 00:00:00+00:00,5119.345,H
2026-02-12 00:00:00+00:00,4878.5,L
2026-02-12 00:00:00+00:00,5083.855,H
2026-02-13 00:00:00+00:00,4913.86,L
2026-02-15 00:00:00+00:00,5032.565,H
2026-02-17 00:00:00+00:00,4842.6,L
2026-02-20 00:00:00+00:00,5108.72,H
2026-02-20 00:00:00+00:00,4981.67,L
2026-02-23 00:00:00+00:00,5250.005,H
2026-02-24 00:00:00+00:00,5093.225,L
2026-02-24 00:00:00+00:00,5238.18,H
2026-02-26 00:00:00+00:00,5130.235,L
2026-03-02 00:00:00+00:00,5419.66,H
2026-03-03 00:00:00+00:00,4996.275,L
2026-03-03 00:00:00+00:00,5379.975,H
2026-03-05 00:00:00+00:00,5050.905,L
2026-03-05 00:00:00+00:00,5195.22,H
2026-03-08 00:00:00+00:00,5044.14,L
2026-03-08 00:00:00+00:00,5170.565,H
2026-03-09 00:00:00+00:00,5015.045,L
2026-03-10 00:00:00+00:00,5238.775,H
2026-03-12 00:00:00+00:00,5055.125,L
2026-03-12 00:00:00+00:00,5191.79,H
2026-03-15 00:00:00+00:00,4967.775,L
2026-03-17 00:00:00+00:00,5044.9,H
2026-03-19 00:00:00+00:00,4502.365,L
2026-03-19 00:00:00+00:00,4867.225,H
2026-03-22 00:00:00+00:00,4452.08,L
2026-03-22 00:00:00+00:00,4536.415,H
2026-03-23 00:00:00+00:00,4099.125,L
2026-03-25 00:00:00+00:00,4602.645,H
2026-03-26 00:00:00+00:00,4351.355,L
2026-03-27 00:00:00+00:00,4555.63,H
2026-03-27 00:00:00+00:00,4375.525,L
2026-03-30 00:00:00+00:00,4580.73,H
2026-03-30 00:00:00+00:00,4417.43,L
2026-04-01 00:00:00+00:00,4800.8,H
2026-04-02 00:00:00+00:00,4553.85,L
2026-04-02 00:00:00+00:00,4798.935,H
2026-04-06 00:00:00+00:00,4600.85,L
2026-04-07 00:00:00+00:00,4836.505,H
2026-04-07 00:00:00+00:00,4607.63,L
2026-04-08 00:00:00+00:00,4858.215,H
2026-04-09 00:00:00+00:00,4698.725,L
2026-04-10 00:00:00+00:00,4794.98,H
2026-04-12 00:00:00+00:00,4644.465,L
2026-04-14 00:00:00+00:00,4850.88,H
2026-04-14 00:00:00+00:00,4751.22,L
2026-04-15 00:00:00+00:00,4871.38,H
2026-04-17 00:00:00+00:00,4767.845,L
2026-04-17 00:00:00+00:00,4891.54,H
2026-04-19 00:00:00+00:00,4736.83,L
2026-04-20 00:00:00+00:00,4833.405,H
2026-04-21 00:00:00+00:00,4668.62,L
2026-04-22 00:00:00+00:00,4772.385,H
2026-04-24 00:00:00+00:00,4658.03,L
2026-04-24 00:00:00+00:00,4740.57,H
2026-04-28 00:00:00+00:00,4555.135,L
2026-04-28 00:00:00+00:00,4701.64,H
2026-04-29 00:00:00+00:00,4510.095,L
2026-05-01 00:00:00+00:00,4660.585,H
2026-05-01 00:00:00+00:00,4560.32,L
2026-05-03 00:00:00+00:00,4629.465,H
2026-05-04 00:00:00+00:00,4501.035,L
2026-05-06 00:00:00+00:00,4723.14,H
2026-05-06 00:00:00+00:00,4588.33,L
2026-05-07 00:00:00+00:00,4764.905,H
2026-05-12 00:00:00+00:00,4638.365,L
2026-05-12 00:00:00+00:00,4773.575,H
2026-05-15 00:00:00+00:00,4510.985,L
2026-05-15 00:00:00+00:00,4651.24,H
2026-05-18 00:00:00+00:00,4480.41,L
2026-05-19 00:00:00+00:00,4589.58,H
