time,open,high,low,close,ticks
2026-02-05 20:00:00+00:00,4829.66,4843.555,4703.485,4703.78,8348
2026-02-06 00:00:00+00:00,4706.32,4846.66,4655.23,4824.385,11516
2026-02-06 04:00:00+00:00,4824.35,4903.4,4807.265,4841.03,11512
2026-02-06 08:00:00+00:00,4841.09,4896.1,4829.71,4887.38,11508
2026-02-06 12:00:00+00:00,4887.375,4964.815,4871.66,4943.77,11512
2026-02-06 16:00:00+00:00,4943.725,4971.34,4921.85,4957.135,11508
2026-02-06 20:00:00+00:00,4957.14,4968.915,4936.69,4964.62,5660
2026-02-08 20:00:00+00:00,4988.365,5047.915,4965.42,5036.085,2640
2026-02-09 00:00:00+00:00,5036.27,5045.11,4968.885,5016.06,11516
2026-02-09 04:00:00+00:00,5016.105,5045.815,4997.855,5006.475,11504
2026-02-09 08:00:00+00:00,5006.455,5041.4,4982.495,5010.83,11520
2026-02-09 12:00:00+00:00,5010.84,5060.56,4995.125,5059.065,11508
2026-02-09 16:00:00+00:00,5059.05,5080.895,5040.965,5074.62,11516
2026-02-09 20:00:00+00:00,5074.685,5086.68,4987.385,5031.995,8256
2026-02-10 00:00:00+00:00,5032.52,5056.34,5009.015,5030.155,11516
2026-02-10 04:00:00+00:00,5030.095,5045.73,5011.445,5033.975,11468
2026-02-10 08:00:00+00:00,5033.965,5063.55,5028.82,5056.135,11416
2026-02-10 12:00:00+00:00,5056.185,5078.745,4998.95,5019.6,11496
2026-02-10 16:00:00+00:00,5019.61,5040.22,5004.73,5028.155,11512
2026-02-10 20:00:00+00:00,5028.165,5054.855,5020.4,5041.735,8020
2026-02-11 00:00:00+00:00,5040.885,5061.02,5028.39,5054.49,11476
2026-02-11 04:00:00+00:00,5054.365,5069.235,5043.8,5055.505,11420
2026-02-11 08:00:00+00:00,5055.315,5116.725,5045.92,5111.67,11264
2026-02-11 12:00:00+00:00,5111.665,5119.345,5019.715,5060.07,11508
2026-02-11 16:00:00+00:00,5060.035,5099.315,5043.115,5081.99,11516
2026-02-11 20:00:00+00:00,5081.97,5095.915,5053.89,5061.55,8208
2026-02-12 00:00:00+00:00,5063.94,5074.875,5045.445,5056.995,11452
2026-02-12 04:00:00+00:00,5056.98,5078.42,5047.13,5063.945,11376
2026-02-12 08:00:00+00:00,5064.085,5080.91,5052.43,5064.19,11024
2026-02-12 12:00:00+00:00,5064.25,5083.855,5039.7,5060.52,11384
2026-02-12 16:00:00+00:00,5060.57,5068.36,4878.5,4945.665,11520
2026-02-12 20:00:00+00:00,4945.715,4948.68,4888.315,4920.465,8300
2026-02-13 00:00:00+00:00,4918.765,4991.805,4913.86,4981.51,11448
2026-02-13 04:00:00+00:00,4981.505,4997.555,4944.93,4975.045,11436
2026-02-13 08:00:00+00:00,4975.16,4989.695,4933.635,4953.64,11360
2026-02-13 12:00:00+00:00,4953.645,5020.68,4952.235,4976.885,11492
2026-02-13 16:00:00+00:00,4976.87,5046.185,4975.52,5023.94,11520
2026-02-13 20:00:00+00:00,5023.865,5046.48,5021.705,5042.74,5504
2026-02-15 20:00:00+00:00,5015.89,5032.565,5009.64,5020.215,2612
2026-02-16 00:00:00+00:00,5022.01,5031.29,4973.455,4987.555,11420
2026-02-16 04:00:00+00:00,4987.635,5010.115,4964.865,5007.4,11356
2026-02-16 08:00:00+00:00,5007.42,5017.445,4995.86,5004.75,10836
2026-02-16 12:00:00+00:00,5004.755,5008.19,4969.11,4979.7,11244
2026-02-16 16:00:00+00:00,4979.71,4997.975,4973.235,4992.005,9464
2026-02-16 20:00:00+00:00,4998.56,5001.24,4985.185,4989.925,2576
2026-02-17 00:00:00+00:00,4989.76,4991.515,4922.895,4956.87,11324
2026-02-17 04:00:00+00:00,4956.86,4960.455,4859.2,4917.1,11424
2026-02-17 08:00:00+00:00,4917.085,4939.4,4907.885,4929.4,11316
2026-02-17 12:00:00+00:00,4929.54,4944.7,4842.6,4878.6,11516
